episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
564,-4.866000000000009,0,500,0.0,0.0,468,57,70,331
565,-1.4280000000000053,0,500,0.0,0.0,266,27,81,364
566,-11.865999999999978,0,500,0.0,0.0,148,31,11,166
567,-4.216000000000001,0,500,0.0,0.0,93,15,62,356
568,-11.46999999999997,0,500,0.0,0.0,41,7,28,185
569,-10.57199999999995,0,500,0.0,0.0,237,36,26,170
570,69.40599999999979,2,500,0.25,0.0,224,57,60,503
571,-13.353999999999937,0,500,0.0,0.0,266,62,10,158
572,-12.54399999999996,0,500,0.0,0.0,303,59,23,203
573,-14.998000000000008,0,500,0.0,0.0,226,61,16,194
574,-17.189999999999934,0,500,0.0,0.0,229,31,36,177
575,-10.853999999999983,0,500,0.0,0.0,407,57,43,231
576,-11.717999999999972,0,500,0.0,0.0,447,62,38,222
577,-9.375999999999998,0,500,0.0,0.0,393,54,52,275
578,-12.85599999999996,0,500,0.0,0.0,301,45,18,182
579,-12.261999999999967,0,500,0.0,0.0,265,52,18,173
580,-10.895999999999981,0,500,0.0,0.0,372,42,45,276
581,-12.179999999999955,0,500,0.0,0.0,338,25,51,216
582,-10.699999999999973,0,500,0.0,0.0,354,35,67,292
583,-13.053999999999911,0,500,0.0,0.0,204,33,16,155
584,-8.810000000000002,0,500,0.0,0.0,318,47,29,216
585,-10.415999999999958,0,500,0.0,0.0,68,28,28,225
586,-8.196000000000005,0,500,0.0,0.0,289,39,46,249
587,-10.507999999999955,0,500,0.0,0.0,125,25,26,163
588,-13.877999999999885,0,500,0.0,0.0,132,15,7,69
589,-6.855999999999984,0,500,0.0,0.0,362,75,4,143
590,-10.335999999999984,0,500,0.0,0.0,431,56,34,199
591,-8.903999999999993,0,500,0.0,0.0,86,17,23,156
592,4.738000000000031,0,500,0.0,0.0,200,42,56,516
593,-10.449999999999958,0,500,0.0,0.0,136,28,11,149
594,90.01599999999965,3,500,0.375,0.0,106,37,27,435
595,82.77199999999849,3,500,0.375,0.0,107,31,18,241
596,0.9320000000000468,0,500,0.0,0.0,313,67,23,292
597,55.57400000000018,2,500,0.25,0.0,289,70,27,336
598,-3.4119999999999404,0,500,0.0,0.0,239,42,13,228
599,12.146000000000026,0,500,0.0,0.0,123,58,56,710
600,4.961999999999995,0,500,0.0,0.0,141,38,69,534
601,5.308000000000056,0,500,0.0,0.0,281,66,45,419
