episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1058,145.88499999999806,6,500,0.75,86,74,26,365
1059,313.7799999999997,8,124,1.0,5,8,10,80
1060,313.3099999999986,8,148,1.0,14,5,15,98
1061,179.54499999999445,7,500,0.875,63,69,31,467
1062,310.86499999999927,8,218,1.0,13,14,30,181
1063,307.2949999999977,8,339,1.0,30,21,26,208
1064,312.24499999999733,8,267,1.0,32,31,23,273
1065,313.5699999999984,8,149,1.0,6,5,8,79
1066,63.05999999999803,3,500,0.375,156,27,62,321
1067,147.0349999999965,6,500,0.75,80,92,40,551
1068,61.56999999999923,3,500,0.375,7,5,28,151
1069,308.79999999999643,8,278,1.0,42,7,23,144
1070,145.93499999999898,6,500,0.75,71,74,25,404
1071,315.41499999999985,8,69,1.0,0,6,9,68
1072,308.84000000000066,8,250,1.0,1,5,5,68
1073,313.7149999999988,8,129,1.0,21,12,8,101
1074,314.88499999999976,8,82,1.0,2,3,8,58
1075,145.26499999999885,6,500,0.75,46,52,21,332
1076,314.98999999999876,8,185,1.0,30,22,29,243
1077,314.2599999999993,8,84,1.0,8,19,8,91
1078,299.7700000000013,8,469,1.0,112,71,24,315
1079,314.66999999999985,8,83,1.0,13,9,13,84
1080,313.1749999999995,8,89,1.0,23,16,13,78
1081,308.9250000000004,8,256,1.0,27,21,29,185
1082,144.079999999997,6,500,0.75,116,90,32,468
1083,311.02999999999884,8,201,1.0,15,16,12,122
1084,308.494999999999,8,284,1.0,36,28,22,201
1085,313.4149999999992,8,112,1.0,11,18,12,107
1086,310.65499999999867,8,196,1.0,34,24,15,144
1087,304.8699999999976,8,395,1.0,18,38,11,257
1088,9.610000000000362,1,500,0.125,80,45,10,225
1089,-20.339999999999776,0,500,0.0,99,86,43,433
1090,314.07499999999874,8,164,1.0,18,14,18,157
1091,315.5299999999993,8,75,1.0,4,6,5,63
1092,312.0649999999999,8,126,1.0,66,11,19,95
1093,315.3099999999996,8,66,1.0,4,12,7,75
1094,312.79499999999905,8,149,1.0,34,25,15,161
1095,311.42999999999836,8,191,1.0,31,23,8,143
1096,144.3199999999988,6,500,0.75,39,32,35,269
1097,307.069999999999,8,299,1.0,10,34,9,185
1098,316.52499999999986,8,54,1.0,0,5,2,46
1099,311.28499999999804,8,210,1.0,16,30,16,203
1100,311.7900000000003,8,154,1.0,10,8,12,72
1101,310.714999999997,8,248,1.0,20,43,23,251
1102,310.89499999999884,8,222,1.0,10,7,15,121
1103,8.81500000000033,1,500,0.125,151,73,38,423
1104,311.1700000000003,8,176,1.0,31,11,18,121
1105,305.6899999999986,8,301,1.0,44,41,31,248
1106,308.04000000000127,8,290,1.0,18,6,12,108
1107,312.0349999999976,8,224,1.0,26,27,17,205
1108,309.60499999999996,8,222,1.0,41,16,12,117
1109,307.48999999999967,8,246,1.0,32,22,9,97
1110,304.35999999999603,8,386,1.0,70,84,14,332
1111,307.8349999999988,8,183,1.0,97,36,14,133
1112,314.2549999999997,8,113,1.0,6,8,3,60
1113,115.2600000000033,5,500,0.625,33,7,23,114
1114,311.67999999999734,8,316,1.0,59,52,26,350
1115,-19.899999999999782,0,500,0.0,138,71,33,368
1116,313.04499999999877,8,184,1.0,27,14,9,146
1117,306.75,8,342,1.0,81,43,24,265
1118,302.3099999999979,8,432,1.0,129,49,7,220
1119,311.075,8,170,1.0,14,4,13,76
1120,310.7749999999986,8,168,1.0,40,39,18,176
1121,308.78499999999684,8,299,1.0,110,30,40,289
1122,305.3450000000005,8,308,1.0,57,32,39,234
1123,172.48499999999345,7,500,0.875,104,42,52,337
1124,310.5549999999989,8,180,1.0,20,26,7,118
1125,309.199999999999,8,238,1.0,48,36,17,197
1126,313.1949999999986,8,160,1.0,4,10,5,90
1127,-17.769999999999825,0,500,0.0,117,86,24,416
1128,35.010000000000346,2,500,0.25,121,55,29,294
1129,61.07999999999922,3,500,0.375,50,14,35,151
1130,301.0999999999979,8,469,1.0,76,75,10,343
1131,311.89499999999896,8,168,1.0,17,9,25,131
1132,307.0049999999986,8,319,1.0,42,38,7,186
1133,301.139999999998,8,366,1.0,74,21,23,164
1134,5.950000000000361,1,500,0.125,165,39,37,218
1135,308.30999999999926,8,261,1.0,9,13,13,124
1136,314.5449999999996,8,111,1.0,7,12,7,102
1137,310.21499999999895,8,198,1.0,45,16,24,137
1138,300.6400000000018,8,485,1.0,81,20,32,198
1139,314.7449999999998,8,97,1.0,9,7,11,91
1140,309.24999999999665,8,241,1.0,22,7,30,137
1141,313.87499999999994,8,102,1.0,33,7,15,83
1142,314.6049999999994,8,100,1.0,1,3,2,36
1143,310.52499999999964,8,188,1.0,21,10,10,79
1144,313.17999999999887,8,137,1.0,36,15,14,121
1145,314.62499999999966,8,71,1.0,16,7,7,57
1146,311.8149999999987,8,187,1.0,7,11,21,137
1147,316.21999999999997,8,36,1.0,8,6,3,37
1148,308.47000000000116,8,257,1.0,7,14,9,107
1149,143.099999999999,6,500,0.75,63,32,26,242
1150,304.9199999999997,8,313,1.0,78,17,38,207
1151,306.84999999999894,8,273,1.0,32,17,16,141
1152,310.5099999999983,8,207,1.0,10,16,14,124
1153,316.05499999999984,8,58,1.0,3,7,2,50
1154,311.5199999999983,8,184,1.0,14,13,6,97
1155,307.5800000000001,8,272,1.0,27,16,13,125
1156,309.53500000000054,8,209,1.0,4,11,13,87
1157,312.6899999999993,8,115,1.0,24,7,10,53
1158,307.4050000000002,8,230,1.0,59,34,19,170
1159,313.45499999999856,8,145,1.0,10,5,6,72
1160,310.8999999999993,8,218,1.0,16,13,20,153
1161,302.97000000000105,8,431,1.0,93,49,33,300
1162,309.27499999999986,8,202,1.0,64,14,22,135
1163,311.3999999999985,8,174,1.0,8,17,20,143
1164,311.9349999999989,8,160,1.0,19,11,15,103
1165,307.69500000000016,8,243,1.0,41,17,19,151
1166,305.4249999999949,8,390,1.0,24,24,42,257
1167,314.7799999999993,8,134,1.0,26,15,7,122
1168,312.10500000000013,8,137,1.0,13,9,17,89
1169,310.9099999999992,8,187,1.0,19,6,25,131
1170,306.3000000000009,8,272,1.0,44,15,19,102
1171,304.53999999999746,8,315,1.0,93,45,38,245
1172,309.7999999999972,8,279,1.0,15,14,28,204
1173,306.2149999999967,8,314,1.0,95,29,55,289
1174,300.1,8,424,1.0,70,38,33,249
1175,315.28999999999974,8,63,1.0,13,10,6,60
1176,312.6099999999978,8,192,1.0,9,18,3,127
1177,314.6899999999993,8,83,1.0,8,3,10,51
1178,27.634999999999756,2,500,0.25,272,47,48,248
1179,169.48499999999734,7,500,0.875,219,66,42,321
1180,314.4299999999994,8,102,1.0,8,7,10,79
1181,315.6549999999993,8,74,1.0,3,6,4,53
1182,311.33500000000015,8,177,1.0,6,8,14,87
1183,306.82499999999754,8,325,1.0,100,15,34,200
1184,312.11999999999864,8,139,1.0,27,6,20,92
1185,305.2849999999995,8,287,1.0,58,31,42,256
1186,316.975,8,31,1.0,5,3,3,35
1187,307.0599999999987,8,283,1.0,65,36,22,210
1188,308.9799999999977,8,282,1.0,56,25,18,191
1189,307.5399999999981,8,283,1.0,124,28,33,243
1190,314.15000000000015,8,105,1.0,11,2,6,50
1191,146.4750000000019,6,500,0.75,46,26,16,229
1192,312.30999999999875,8,174,1.0,2,21,2,107
1193,90.56500000000273,4,500,0.5,68,14,19,152
1194,315.5999999999991,8,78,1.0,4,7,0,43
1195,315.64999999999975,8,85,1.0,10,8,1,59
1196,315.60999999999933,8,62,1.0,2,2,6,38
1197,310.3799999999999,8,190,1.0,77,16,29,149
