episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1571,-13.29,0,500,0.0,141,71,78,519
1572,-2.0150000000000006,0,500,0.0,108,57,72,560
1573,162.6949999999997,7,500,0.875,94,64,68,573
1574,95.14499999999995,4,500,0.5,165,61,62,506
1575,118.34999999999984,5,500,0.625,159,60,68,503
1576,69.655,3,500,0.375,109,63,81,553
1577,172.76999999999947,7,500,0.875,129,81,63,549
1578,115.2849999999996,5,500,0.625,133,70,65,538
1579,22.29999999999998,1,500,0.125,134,68,61,541
1580,63.84999999999942,3,500,0.375,132,52,60,516
1581,-9.919999999999993,0,500,0.0,152,65,65,520
1582,147.5400000000001,6,500,0.75,163,63,63,507
1583,146.22999999999993,6,500,0.75,162,65,69,522
1584,-6.859999999999998,0,500,0.0,161,66,63,531
1585,144.72500000000002,6,500,0.75,154,64,66,521
1586,146.93000000000004,6,500,0.75,140,73,63,530
1587,20.515000000000008,1,500,0.125,148,72,76,545
1588,175.08000000000007,7,500,0.875,143,50,62,518
1589,147.5599999999999,6,500,0.75,121,65,66,523
1590,120.39999999999962,5,500,0.625,125,61,68,537
1591,301.945,8,416,1.0,130,51,52,428
1592,42.45499999999997,2,500,0.25,147,66,75,516
1593,-8.614999999999988,0,500,0.0,141,52,60,534
1594,65.47999999999962,3,500,0.375,146,61,68,543
1595,44.215,2,500,0.25,191,79,54,470
1596,144.5999999999995,6,500,0.75,136,78,64,535
1597,173.21499999999978,7,500,0.875,113,55,76,539
1598,85.87999999999937,4,500,0.5,158,54,69,497
1599,36.62000000000019,2,500,0.25,119,76,57,548
1600,120.13499999999996,5,500,0.625,138,69,61,561
1601,-4.41,0,500,0.0,136,65,80,535
1602,-5.974999999999995,0,500,0.0,121,58,68,543
1603,64.6699999999995,3,500,0.375,186,65,72,491
1604,9.590000000000034,1,500,0.125,158,75,63,495
1605,173.73999999999992,7,500,0.875,154,73,55,494
1606,119.48999999999977,5,500,0.625,166,56,68,497
1607,173.96999999999997,7,500,0.875,125,65,70,546
1608,178.5949999999998,7,500,0.875,121,71,44,566
1609,-3.5299999999999963,0,500,0.0,176,51,77,508
1610,-13.574999999999985,0,500,0.0,136,86,69,548
1611,310.96000000000004,8,190,1.0,52,21,24,187
1612,-9.025000000000004,0,500,0.0,168,64,80,501
1613,-7.6599999999999975,0,500,0.0,123,67,70,539
1614,47.330000000000055,2,500,0.25,140,77,71,542
1615,-8.550000000000002,0,500,0.0,113,71,73,540
1616,-8.369999999999992,0,500,0.0,100,78,72,558
1617,-9.414999999999997,0,500,0.0,168,72,67,480
1618,-8.024999999999997,0,500,0.0,124,55,64,528
1619,170.3449999999998,7,500,0.875,138,82,64,527
1620,42.26999999999999,2,500,0.25,173,76,68,511
1621,177.5549999999999,7,500,0.875,145,46,73,560
1622,294.53999999999957,8,483,1.0,105,64,69,541
1623,297.27499999999986,8,418,1.0,117,57,58,438
1624,22.655000000000005,1,500,0.125,91,63,75,557
1625,8.125000000000016,1,500,0.125,125,79,68,510
1626,172.12499999999997,7,500,0.875,148,68,70,530
1627,144.66999999999993,6,500,0.75,131,61,77,542
1628,96.43499999999999,4,500,0.5,133,67,69,527
1629,83.62999999999923,4,500,0.5,128,79,70,543
1630,126.31499999999963,5,500,0.625,136,56,66,549
1631,123.42499999999981,5,500,0.625,156,66,70,521
1632,23.00500000000003,1,500,0.125,162,64,69,528
1633,-14.119999999999981,0,500,0.0,147,69,69,512
1634,304.29499999999996,8,421,1.0,122,55,43,443
1635,141.49999999999997,6,500,0.75,119,57,67,520
1636,310.93,8,255,1.0,66,30,33,303
1637,149.63000000000002,6,500,0.75,150,50,48,518
1638,0.0950000000000015,0,500,0.0,129,72,52,553
1639,-8.910000000000002,0,500,0.0,153,60,69,506
1640,12.485000000000008,1,500,0.125,117,68,67,566
1641,122.33500000000002,5,500,0.625,155,66,56,507
1642,-15.629999999999967,0,500,0.0,124,52,73,528
1643,146.26500000000013,6,500,0.75,149,58,72,531
1644,-12.99499999999999,0,500,0.0,122,72,75,530
1645,-1.3449999999999964,0,500,0.0,104,70,63,572
1646,144.89500000000024,6,500,0.75,167,64,73,524
1647,-4.925000000000002,0,500,0.0,166,56,63,462
