episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
290,35.63500000000019,2,500,0.25,178,97,27
291,12.55000000000001,1,500,0.125,64,75,17
292,-16.50000000000005,0,500,0.0,8,5,4
293,-16.06999999999986,0,500,0.0,84,35,7
294,-12.629999999999804,0,500,0.0,70,17,1
295,37.019999999999975,2,500,0.25,99,53,23
296,-16.23999999999985,0,500,0.0,28,8,4
297,-19.929999999999872,0,500,0.0,310,36,84
298,52.405000000000015,3,500,0.375,174,67,19
299,-22.264999999999976,0,500,0.0,142,62,15
300,134.6900000000003,6,500,0.75,349,85,79
301,-30.26500000000005,0,500,0.0,290,58,15
302,-25.740000000000077,0,500,0.0,17,7,5
303,-4.965000000000003,0,500,0.0,173,90,72
304,-14.150000000000002,0,500,0.0,274,67,55
305,-9.534999999999975,0,500,0.0,39,9,18
306,-20.934999999999935,0,500,0.0,88,29,29
307,-16.64999999999981,0,500,0.0,63,18,4
308,-25.45499999999996,0,500,0.0,142,47,34
309,-7.434999999999965,0,500,0.0,56,31,5
310,-14.410000000000014,0,500,0.0,222,71,71
311,-21.334999999999983,0,500,0.0,205,47,45
312,-28.475000000000144,0,500,0.0,102,26,21
313,-37.885000000000176,0,500,0.0,180,37,21
314,-23.429999999999993,0,500,0.0,229,67,17
315,-17.889999999999805,0,500,0.0,32,10,1
316,-26.23000000000005,0,500,0.0,178,27,87
317,-32.4850000000002,0,500,0.0,17,11,2
318,-18.309999999999846,0,500,0.0,118,26,12
319,-19.37999999999989,0,500,0.0,240,69,8
320,-17.190000000000012,0,500,0.0,294,73,51
321,-9.229999999999988,0,500,0.0,167,52,26
322,-20.975000000000033,0,500,0.0,155,54,18
323,-15.15500000000002,0,500,0.0,107,47,4
324,-13.529999999999987,0,500,0.0,59,15,30
325,-16.60500000000003,0,500,0.0,168,40,38
326,-22.37499999999994,0,500,0.0,86,62,6
327,-21.23500000000001,0,500,0.0,230,25,68
328,-15.629999999999924,0,500,0.0,38,13,9
329,-10.209999999999916,0,500,0.0,40,12,7
330,-27.115000000000098,0,500,0.0,27,7,10
331,-12.659999999999904,0,500,0.0,50,7,11
332,-27.744999999999976,0,500,0.0,124,16,52
333,-18.134999999999767,0,500,0.0,30,8,9
334,-26.75999999999986,0,500,0.0,408,75,66
335,-37.77000000000012,0,500,0.0,39,10,9
336,-13.399999999999979,0,500,0.0,59,4,9
337,-27.00000000000009,0,500,0.0,11,6,5
338,-20.06499999999977,0,500,0.0,29,7,4
339,-23.324999999999747,0,500,0.0,111,36,15
340,-28.504999999999875,0,500,0.0,433,75,82
341,-37.70500000000025,0,500,0.0,74,14,3
342,-16.855,0,500,0.0,63,10,43
343,-28.339999999999833,0,500,0.0,566,77,72
344,-35.23000000000023,0,500,0.0,23,5,17
345,-34.49000000000007,0,500,0.0,214,11,71
346,-32.654999999999816,0,500,0.0,561,75,89
347,-27.319999999999887,0,500,0.0,600,77,94
348,-20.104999999999997,0,500,0.0,262,20,72
349,-22.484999999999992,0,500,0.0,168,41,37
350,-30.49999999999986,0,500,0.0,637,87,87
351,-32.71000000000009,0,500,0.0,119,27,7
352,-31.98999999999982,0,500,0.0,526,97,84
353,-19.799999999999834,0,500,0.0,79,2,28
354,6.939999999999995,1,500,0.125,276,90,78
355,-27.08000000000007,0,500,0.0,8,5,5
356,-14.424999999999972,0,500,0.0,350,104,99
357,-29.230000000000082,0,500,0.0,24,20,16
358,7.000000000000037,1,500,0.125,519,62,81
359,-32.09000000000004,0,500,0.0,307,91,5
360,-29.2950000000001,0,500,0.0,12,5,3
361,-14.254999999999885,0,500,0.0,8,4,4
362,-20.479999999999908,0,500,0.0,10,0,3
363,-33.670000000000016,0,500,0.0,196,72,3
364,-34.5999999999998,0,500,0.0,671,95,88
365,-33.805000000000035,0,500,0.0,366,80,33
366,-21.830000000000037,0,500,0.0,306,88,28
367,-30.075000000000095,0,500,0.0,8,5,2
368,-21.854999999999944,0,500,0.0,469,82,84
369,-26.59499999999997,0,500,0.0,57,47,2
370,-32.159999999999975,0,500,0.0,104,64,5
371,-26.194999999999904,0,500,0.0,567,93,92
372,9.304999999999918,1,500,0.125,264,83,81
373,-13.364999999999988,0,500,0.0,333,41,95
374,-25.714999999999886,0,500,0.0,441,65,82
375,-19.98500000000001,0,500,0.0,436,104,87
376,33.229999999999954,2,500,0.25,340,90,85
377,-27.49999999999994,0,500,0.0,387,104,81
378,-25.08999999999982,0,500,0.0,510,65,68
379,-20.759999999999753,0,500,0.0,63,8,13
380,-31.28499999999986,0,500,0.0,605,100,82
381,-33.19499999999984,0,500,0.0,607,108,76
382,-14.980000000000006,0,500,0.0,207,66,38
383,-29.36499999999988,0,500,0.0,508,99,50
384,-22.094999999999885,0,500,0.0,559,69,61
385,-26.314999999999795,0,500,0.0,341,93,4
386,-12.57999999999999,0,500,0.0,323,91,82
387,-19.199999999999907,0,500,0.0,483,86,61
388,-25.360000000000053,0,500,0.0,69,32,10
389,-18.090000000000046,0,500,0.0,74,18,18
390,6.500000000000003,1,500,0.125,82,74,12
391,-2.9000000000000026,1,500,0.125,422,94,46
392,-21.13500000000006,0,500,0.0,60,21,5
393,-30.47499999999997,0,500,0.0,83,86,2
394,-14.530000000000012,0,500,0.0,143,60,34
395,-13.539999999999976,0,500,0.0,89,47,31
396,-14.344999999999965,0,500,0.0,285,56,23
397,-11.669999999999815,0,500,0.0,166,32,48
398,-12.710000000000013,0,500,0.0,347,99,78
399,-36.01500000000005,0,500,0.0,339,106,10
400,-11.34999999999993,0,500,0.0,189,72,48
401,-13.149999999999999,0,500,0.0,311,98,35
402,-22.534999999999936,0,500,0.0,443,65,73
403,-13.914999999999997,0,500,0.0,269,85,66
404,-18.864999999999934,0,500,0.0,388,86,77
405,-8.125000000000002,0,500,0.0,179,42,33
406,-21.560000000000002,0,500,0.0,397,90,62
407,-7.065000000000005,0,500,0.0,135,66,10
408,-8.039999999999985,0,500,0.0,135,76,18
409,-10.944999999999967,0,500,0.0,232,29,113
410,-9.314999999999982,0,500,0.0,159,32,73
411,-13.024999999999944,0,500,0.0,62,75,9
412,-8.254999999999995,0,500,0.0,178,54,42
413,-8.145000000000003,0,500,0.0,317,84,66
414,-21.749999999999837,0,500,0.0,211,68,16
415,-17.284999999999872,0,500,0.0,246,77,24
416,-10.494999999999937,0,500,0.0,143,10,28
417,-12.274999999999991,0,500,0.0,57,20,18
418,-15.219999999999983,0,500,0.0,206,55,50
419,-12.164999999999964,0,500,0.0,211,19,74
420,-9.00499999999997,0,500,0.0,193,23,77
421,-16.200000000000006,0,500,0.0,203,91,52
422,-13.144999999999996,0,500,0.0,249,94,94
423,-28.93500000000001,0,500,0.0,363,96,27
424,-2.2899999999999965,0,500,0.0,124,56,20
425,-14.110000000000054,0,500,0.0,89,24,43
426,-12.959999999999951,0,500,0.0,159,29,32
427,-21.57500000000006,0,500,0.0,98,25,33
428,-13.745000000000024,0,500,0.0,154,60,45
429,-13.259999999999886,0,500,0.0,56,22,14
430,-21.159999999999844,0,500,0.0,194,29,58
431,-15.919999999999996,0,500,0.0,224,75,54
432,-17.169999999999938,0,500,0.0,140,41,1
433,-26.169999999999956,0,500,0.0,184,87,40
434,-7.609999999999995,0,500,0.0,201,79,79
435,-10.819999999999975,0,500,0.0,262,69,51
436,-32.494999999999955,0,500,0.0,180,93,10
437,-20.259999999999934,0,500,0.0,579,82,86
438,-1.7200000000000097,1,500,0.125,172,85,7
439,-17.469999999999896,0,500,0.0,273,91,6
440,-29.944999999999936,0,500,0.0,267,82,10
441,-9.020000000000005,1,500,0.125,288,101,27
442,-21.89499999999988,0,500,0.0,357,24,89
443,-0.6399999999999836,1,500,0.125,409,95,83
444,-13.485000000000028,0,500,0.0,118,51,24
445,-2.7349999999999817,0,500,0.0,44,95,17
446,17.460000000000015,1,500,0.125,192,70,57
447,-26.30499999999981,0,500,0.0,413,24,94
448,2.9400000000001816,1,500,0.125,44,12,4
449,112.83999999999813,5,500,0.625,33,28,11
450,-19.804999999999993,0,500,0.0,337,101,65
451,-26.165000000000042,0,500,0.0,135,40,25
452,6.74500000000002,1,500,0.125,309,86,58
453,-12.844999999999976,0,500,0.0,313,51,90
454,-25.93000000000011,0,500,0.0,39,7,35
455,-29.520000000000156,0,500,0.0,72,38,14
456,-19.444999999999943,0,500,0.0,101,44,53
457,-25.279999999999795,0,500,0.0,353,13,94
458,-22.564999999999873,0,500,0.0,515,95,76
459,-15.384999999999996,0,500,0.0,102,28,62
460,-12.369999999999987,0,500,0.0,220,78,91
461,-28.684999999999814,0,500,0.0,458,51,101
462,-17.185000000000006,0,500,0.0,102,23,43
463,-21.939999999999937,0,500,0.0,155,100,6
464,-6.549999999999997,0,500,0.0,251,77,69
465,-17.000000000000032,0,500,0.0,193,29,41
466,-27.420000000000112,0,500,0.0,71,28,9
467,-25.735000000000106,0,500,0.0,120,29,25
468,8.555000000000074,1,500,0.125,321,92,38
469,-9.435000000000013,0,500,0.0,53,108,25
470,-14.375,0,500,0.0,100,98,21
471,-16.59999999999999,0,500,0.0,301,97,77
472,-9.51499999999999,0,500,0.0,279,84,89
473,-42.04500000000031,0,500,0.0,6,8,3
474,-23.134999999999962,0,500,0.0,22,5,63
475,-16.8399999999999,0,500,0.0,281,10,101
476,-12.49999999999998,0,500,0.0,78,80,43
477,-31.550000000000058,0,500,0.0,326,73,22
478,-19.245000000000015,0,500,0.0,120,43,35
479,-9.810000000000002,0,500,0.0,289,80,58
480,-16.149999999999974,0,500,0.0,5,9,76
481,-10.574999999999982,0,500,0.0,163,21,94
