episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
539,174.31999999999988,7,500,0.875,126,66,63
540,89.7749999999993,4,500,0.5,121,52,80
541,171.46500000000046,7,500,0.875,114,63,47
542,176.47,7,500,0.875,107,43,59
543,299.57499999999993,8,478,1.0,117,63,56
544,308.2049999999999,8,281,1.0,75,20,40
545,309.09,8,302,1.0,41,34,34
546,308.55499999999984,8,320,1.0,46,40,28
547,304.725,8,359,1.0,106,40,41
548,309.70000000000005,8,240,1.0,50,31,27
549,305.19000000000005,8,387,1.0,106,47,50
550,314.71999999999997,8,71,1.0,16,6,13
551,312.30499999999995,8,133,1.0,24,22,17
552,176.63500000000013,7,500,0.875,88,60,55
553,147.46500000000012,6,500,0.75,128,66,60
554,304.8400000000001,8,411,1.0,80,55,41
555,309.34,8,253,1.0,51,30,17
556,299.4999999999999,8,437,1.0,96,67,38
557,310.57999999999987,8,219,1.0,35,27,20
558,309.55499999999984,8,274,1.0,40,36,37
559,301.135,8,473,1.0,131,64,47
560,297.1000000000002,8,452,1.0,91,56,16
561,306.9150000000001,8,251,1.0,52,41,26
562,311.56500000000005,8,215,1.0,31,26,31
563,142.88499999999925,6,500,0.75,117,49,59
564,172.20999999999967,7,500,0.875,113,57,93
565,174.59499999999966,7,500,0.875,110,57,81
566,308.975,8,286,1.0,57,30,29
567,173.80999999999958,7,500,0.875,148,65,76
568,175.30000000000018,7,500,0.875,133,51,71
569,172.2699999999996,7,500,0.875,114,58,88
570,174.44999999999985,7,500,0.875,141,60,66
571,175.46999999999989,7,500,0.875,80,58,76
572,304.5199999999998,8,363,1.0,101,39,61
573,177.41499999999976,7,500,0.875,85,51,64
574,171.30500000000018,7,500,0.875,108,70,80
575,315.10499999999996,8,76,1.0,7,8,6
576,300.33000000000027,8,492,1.0,79,40,55
577,147.36000000000016,6,500,0.75,103,40,70
578,66.89500000000002,3,500,0.375,102,42,60
579,300.65,8,499,1.0,147,60,68
580,305.2250000000003,8,249,1.0,54,28,22
581,173.3500000000001,7,500,0.875,112,46,80
