episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
1815,-9.865999999999952,0,1000,0.0,0.0,430,107,55,671
1816,-5.712000000000009,0,1000,0.0,0.0,396,87,54,663
1817,-13.211999999999879,0,1000,0.0,0.0,528,85,70,626
1818,-5.7960000000000145,0,1000,0.0,0.0,408,109,95,808
1819,109.6419999999994,4,1000,0.5,0.0,644,77,109,743
1820,38.919999999999966,3,1000,0.375,0.0,118,15,28,188
1821,-22.937999999999708,0,1000,0.0,0.0,921,119,140,737
1822,-7.09399999999997,0,1000,0.0,0.0,667,121,121,906
1823,-13.255999999999927,0,1000,0.0,0.0,711,131,122,928
1824,-9.241999999999972,0,1000,0.0,0.0,475,97,108,839
1825,39.54199999999999,2,1000,0.25,0.0,515,53,92,528
1826,45.02800000000001,2,1000,0.25,0.0,740,129,107,659
1827,-20.063999999999716,0,1000,0.0,0.0,657,67,98,541
1828,-20.47199999999972,0,1000,0.0,0.0,688,76,105,544
1829,53.31399999999978,3,1000,0.375,0.0,382,73,55,409
1830,-11.669999999999966,0,1000,0.0,0.0,570,31,117,556
1831,164.74800000000337,6,1000,0.75,0.0,519,20,107,430
1832,4.054000000000091,1,1000,0.125,0.0,1170,130,151,579
1833,-26.019999999999612,0,1000,0.0,0.0,938,109,76,455
1834,-0.9980000000000093,0,1000,0.0,0.0,756,134,158,1118
1835,46.56199999999997,2,1000,0.25,0.0,979,123,133,734
1836,-36.338000000000044,0,1000,0.0,0.0,718,68,127,612
1837,8.556000000000093,1,1000,0.125,0.0,511,74,96,591
1838,40.86000000000016,2,1000,0.25,0.0,996,105,150,705
1839,129.42200000000253,5,1000,0.625,0.0,511,40,118,615
1840,-27.871999999999964,0,1000,0.0,0.0,768,120,67,535
1841,104.5219999999977,4,1000,0.5,0.0,516,106,81,608
1842,-23.539999999999683,0,1000,0.0,0.0,688,119,35,359
1843,13.380000000000354,1,1000,0.125,0.0,523,73,79,502
1844,-27.795999999999808,0,1000,0.0,0.0,730,104,62,420
1845,-14.58799999999999,0,1000,0.0,0.0,1044,143,109,648
1846,32.55800000000042,2,1000,0.25,0.0,711,134,14,336
1847,71.93400000000003,3,1000,0.375,0.0,667,124,73,636
1848,81.22400000000005,3,1000,0.375,0.0,812,127,94,715
1849,-14.41200000000001,0,1000,0.0,0.0,619,111,85,675
1850,-34.1099999999999,0,1000,0.0,0.0,643,57,77,384
1851,56.547999999996875,3,1000,0.375,0.0,603,57,63,233
1852,-7.7740000000000045,0,1000,0.0,0.0,446,92,89,684
1853,5.086000000000014,0,1000,0.0,0.0,343,91,102,869
1854,-15.449999999999969,0,1000,0.0,0.0,388,80,80,622
1855,-3.7059999999999955,0,1000,0.0,0.0,368,69,97,795
1856,-13.312000000000035,1,1000,0.125,0.0,616,98,55,421
1857,16.812000000000108,1,1000,0.125,0.0,526,101,106,764
1858,-13.301999999999984,0,1000,0.0,0.0,718,90,139,770
1859,-32.20199999999977,0,1000,0.0,0.0,752,46,157,560
1860,-32.9579999999997,0,1000,0.0,0.0,915,81,145,542
1861,35.09200000000014,2,1000,0.25,0.0,822,108,106,632
1862,-12.757999999999953,0,1000,0.0,0.0,787,130,141,804
1863,30.238000000000596,2,1000,0.25,0.0,795,76,106,380
1864,12.207999999999991,0,1000,0.0,0.0,748,124,124,1039
1865,-32.2359999999998,0,1000,0.0,0.0,571,56,92,486
1866,-17.741999999999926,0,1000,0.0,0.0,179,153,47,1103
1867,-2.186000000000018,0,1000,0.0,0.0,461,122,65,789
1868,-9.405999999999885,0,1000,0.0,0.0,593,85,73,640
1869,12.384000000000048,0,1000,0.0,0.0,490,122,103,1039
1870,-14.885999999999932,0,1000,0.0,0.0,393,132,66,1007
1871,-12.711999999999941,0,1000,0.0,0.0,705,118,114,935
1872,-29.11199999999958,0,1000,0.0,0.0,857,71,122,511
1873,-17.22599999999984,0,1000,0.0,0.0,785,93,143,760
1874,-0.0759999999999407,1,1000,0.125,0.0,773,64,119,491
1875,2.8740000000003367,1,1000,0.125,0.0,839,65,133,457
1876,54.208000000000176,3,1000,0.375,0.0,480,32,74,299
1877,43.104000000000234,2,1000,0.25,0.0,922,108,130,611
1878,61.94599999999781,3,1000,0.375,0.0,879,146,91,633
1879,-62.53200000000021,0,1000,0.0,0.0,12,2,4,44
1880,-49.863999999999834,0,1000,0.0,0.0,26,9,8,88
1881,126.47800000000375,5,1000,0.625,0.0,734,33,133,358
1882,25.7480000000006,2,1000,0.25,0.0,142,35,13,141
1883,-22.33199999999981,0,1000,0.0,0.0,410,38,68,334
1884,44.714000000000134,2,1000,0.25,0.0,421,68,57,489
1885,-11.697999999999956,0,1000,0.0,0.0,422,81,80,583
1886,-48.698000000000135,0,1000,0.0,0.0,671,99,56,357
1887,3.782000000000098,1,1000,0.125,0.0,654,121,43,521
1888,-34.65000000000002,0,1000,0.0,0.0,494,35,94,369
1889,-19.59599999999984,0,1000,0.0,0.0,790,110,93,562
1890,34.8000000000002,2,1000,0.25,0.0,895,100,100,505
1891,40.37000000000004,2,1000,0.25,0.0,945,110,147,656
1892,-36.49200000000004,0,1000,0.0,0.0,607,48,86,407
1893,28.284000000000166,2,1000,0.25,0.0,144,34,79,562
1894,31.444000000000038,2,1000,0.25,0.0,172,41,76,581
1895,16.360000000000237,1,1000,0.125,0.0,564,60,101,716
1896,-15.385999999999997,0,1000,0.0,0.0,393,124,37,620
1897,59.179999999999914,2,1000,0.25,0.0,339,95,111,881
1898,37.84400000000014,2,1000,0.25,0.0,678,60,103,492
1899,58.017999999999915,2,1000,0.25,0.0,425,108,121,902
1900,32.63400000000048,2,1000,0.25,0.0,439,36,67,307
1901,-23.695999999999735,0,1000,0.0,0.0,985,110,128,597
1902,27.810000000000755,1,1000,0.125,0.0,500,83,118,796
1903,-9.537999999999952,0,1000,0.0,0.0,469,62,114,708
1904,17.79200000000044,1,1000,0.125,0.0,637,73,117,682
1905,-12.776000000000003,0,1000,0.0,0.0,540,89,117,895
1906,59.222000000000136,2,1000,0.25,0.0,493,114,97,877
1907,-21.62799999999981,0,1000,0.0,0.0,909,92,92,431
1908,-23.267999999999816,0,1000,0.0,0.0,566,87,102,646
1909,-20.319999999999787,0,1000,0.0,0.0,746,78,121,649
1910,40.59400000000012,2,1000,0.25,0.0,424,45,109,541
1911,32.70599999999992,2,1000,0.25,0.0,656,97,70,468
1912,-24.713999999999984,0,1000,0.0,0.0,453,60,109,755
1913,140.90200000000067,5,1000,0.625,0.0,407,97,71,694
1914,-36.27999999999997,0,1000,0.0,0.0,650,69,99,582
1915,-26.9999999999999,0,1000,0.0,0.0,441,47,98,600
1916,-29.279999999999948,0,1000,0.0,0.0,424,59,114,663
1917,-30.6419999999997,0,1000,0.0,0.0,409,41,97,561
1918,-27.623999999999683,0,1000,0.0,0.0,553,42,117,524
1919,-33.580000000000055,0,1000,0.0,0.0,479,63,89,508
1920,-51.664000000000094,0,1000,0.0,0.0,321,15,43,144
1921,-25.73799999999982,0,1000,0.0,0.0,744,77,105,409
1922,-19.00999999999996,0,1000,0.0,0.0,430,52,109,641
1923,-1.9760000000000175,0,1000,0.0,0.0,806,110,77,608
1924,-17.109999999999886,0,1000,0.0,0.0,834,135,71,586
1925,-30.69600000000007,0,1000,0.0,0.0,374,40,104,567
1926,-7.16600000000001,0,1000,0.0,0.0,1038,107,117,668
1927,-34.796000000000234,0,1000,0.0,0.0,456,90,69,568
1928,-23.86999999999972,0,1000,0.0,0.0,1349,156,150,541
1929,-32.939999999999934,0,1000,0.0,0.0,54,10,67,412
1930,-28.90799999999982,0,1000,0.0,0.0,380,48,100,504
1931,-24.96199999999967,0,1000,0.0,0.0,1428,129,135,447
1932,-43.30000000000011,0,1000,0.0,0.0,642,107,35,387
1933,-9.000000000000005,0,1000,0.0,0.0,1083,143,123,695
1934,-25.445999999999966,0,1000,0.0,0.0,350,48,91,628
1935,-1.3360000000000207,0,1000,0.0,0.0,928,138,123,805
1936,-30.365999999999943,0,1000,0.0,0.0,410,36,128,628
1937,-8.060000000000015,0,1000,0.0,0.0,885,147,98,705
1938,-3.740000000000002,0,1000,0.0,0.0,456,25,141,656
1939,-26.03399999999991,0,1000,0.0,0.0,521,46,132,679
1940,-32.64599999999978,0,1000,0.0,0.0,547,16,134,439
1941,-5.29000000000001,0,1000,0.0,0.0,386,18,148,636
1942,-13.541999999999907,0,1000,0.0,0.0,442,23,107,508
1943,-24.811999999999877,0,1000,0.0,0.0,412,43,99,515
